job_id,title,company,city,posted_date,job_type,source,description
KAGGLE_00053,Computer Vision Research Engineer - Machine Learning,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022,"Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking."
KAGGLE_00054,Machine Learning (ML) Research Engineer,Robert Bosch,Bangalore,2022-07-06,,kaggle_2022,"Ability to identify, understand and implement relevant research findings from technical publications.,Design, implementation, and deployment of technical…"
KAGGLE_00055,Machine Learning Engineer 2,Adobe,Bangalore,2022-07-14,,kaggle_2022,"Changing the world through digital experiences is what Adobe’s all about.,We give everyone—from emerging artists to global brands—everything they need to design…"
KAGGLE_00056,Data Annotator,Ezeiatech Systems Pvt Ltd,Gurgaon,,,kaggle_2022,Work with a team of Machine Learning Engineers and the Data Scientists to ensure the building and delivering high quality datasets for machine training.
KAGGLE_00057,ML Engineer,Enterpret,Bangalore,2022-07-20,,kaggle_2022,"Build & test deep learning models in the areas of few shot learning, text generation, semantic search, ABSA.,We are solving complex problems in natural language…"
KAGGLE_00058,"Analyst, Risk Analytics (PPNR/Machine Learning)",Northern Trust Corp.,Bangalore,2022-07-15,,kaggle_2022,"Develops understanding of time series analysis and AI/ML algorithms used in supervised and unsupervised learning.,Gender Equality Index Member, Bloomberg."
KAGGLE_00059,Automation Engineer,Paras Defence & Space Technologies,Mumbai,2022-07-22,,kaggle_2022,"Experience with robotics, AI and machine learning.,Qualification : Bachelor / Master of Engineering – Electronics/Electrical."
KAGGLE_00060,Cloud Operations Engineer I,EagleView Technologies,Bangalore,2022-07-09,,kaggle_2022,"In cooperation with software engineers, machine learning teams, and finance, you will use a scientific methodology to identify programmatic solutions to achieve…"
KAGGLE_00061,Machine Learning-Python,Quant AIs,Delhi,2022-06-26,,kaggle_2022,"At least two years' experience as a machine learning engineer.,We use our expertise with the Cloud platforms like Microsoft Azure, along with modern data…"
KAGGLE_00062,Associate II - Data Analysis,UST Global,Thiruvananthapuram,2022-07-07,,kaggle_2022,"As our Applied Machine Learning Engineer, you will collaborate with other data scientists, as well as members of platform engineering team in order to execute…"
KAGGLE_00063,Machine Learning Engineer,Jumio Corporation,Remote,2022-06-26,,kaggle_2022,"Build scalable machine learning models, algorithms, and analytics on large financial datasets (both fiat currency and cryptocurrency) to detect suspicious…"
