job_id,skill_id,skill_name
KAGGLE_01446,13,Machine Learning
KAGGLE_01457,1,Data Modeling
KAGGLE_01459,17,Power BI
KAGGLE_01459,24,SAS
KAGGLE_01459,26,SQL
KAGGLE_01459,30,Tableau
KAGGLE_01460,26,SQL
KAGGLE_01461,26,SQL
KAGGLE_01465,6,Forecasting
KAGGLE_01466,4,Excel
KAGGLE_01466,26,SQL
KAGGLE_01468,29,Statistics
KAGGLE_01469,4,Excel
KAGGLE_01469,26,SQL
KAGGLE_01470,29,Statistics
KAGGLE_01471,4,Excel
KAGGLE_01471,26,SQL
KAGGLE_01481,3,ETL
KAGGLE_01486,3,ETL
KAGGLE_01488,17,Power BI
KAGGLE_01491,26,SQL
KAGGLE_01494,26,SQL
KAGGLE_01498,4,Excel
KAGGLE_01499,17,Power BI
KAGGLE_01499,26,SQL
KAGGLE_01504,20,Python
KAGGLE_01504,26,SQL
KAGGLE_01505,17,Power BI
KAGGLE_01508,29,Statistics
KAGGLE_01510,17,Power BI
KAGGLE_01510,20,Python
KAGGLE_01510,22,R
KAGGLE_01516,26,SQL
KAGGLE_01533,4,Excel
KAGGLE_01537,20,Python
KAGGLE_01537,22,R
KAGGLE_01537,29,Statistics
KAGGLE_01543,20,Python
KAGGLE_01543,26,SQL
KAGGLE_01556,20,Python
KAGGLE_01556,26,SQL
KAGGLE_01562,4,Excel
KAGGLE_01565,4,Excel
KAGGLE_01565,20,Python
KAGGLE_01565,22,R
KAGGLE_01565,26,SQL
KAGGLE_01565,30,Tableau
KAGGLE_01568,20,Python
KAGGLE_01568,22,R
KAGGLE_01571,1,Data Modeling
KAGGLE_01574,4,Excel
KAGGLE_01579,30,Tableau
KAGGLE_01581,1,Data Modeling
JOBSEARCH_158,15,NumPy
JOBSEARCH_158,16,Pandas
JOBSEARCH_158,20,Python
JOBSEARCH_158,26,SQL
JOBSEARCH_158,29,Statistics
JOBSEARCH_168,9,Hadoop
JOBSEARCH_168,13,Machine Learning
JOBSEARCH_168,20,Python
JOBSEARCH_168,22,R
JOBSEARCH_168,24,SAS
JOBSEARCH_168,25,SPSS
JOBSEARCH_168,26,SQL
JOBSEARCH_168,28,Spark
JOBSEARCH_168,29,Statistics
JOBSEARCH_172,2,Deep Learning
JOBSEARCH_172,5,Fine-tuning
JOBSEARCH_172,7,Generative AI
JOBSEARCH_172,11,LLM
JOBSEARCH_172,12,MLOps
JOBSEARCH_172,13,Machine Learning
JOBSEARCH_172,15,NumPy
JOBSEARCH_172,16,Pandas
JOBSEARCH_172,19,Prompt Engineering
JOBSEARCH_172,20,Python
JOBSEARCH_172,23,RAG
JOBSEARCH_172,26,SQL
JOBSEARCH_172,30,Tableau
JOBSEARCH_172,31,Vector Database
JOBSEARCH_174,2,Deep Learning
JOBSEARCH_174,5,Fine-tuning
JOBSEARCH_174,11,LLM
JOBSEARCH_174,12,MLOps
JOBSEARCH_174,13,Machine Learning
